user_id,text,tweet_id,botornot,Dotcount,Commacount,Exclcount,Wordcount,Uppercasecount,Lowercasecount,Specialchar,Numbercount,Charcount,Uniquewords,Apicescount,Quotescount,Openpar,Closepar,Operatorcount,Hashtagcount,Dottycount,Linkcount
270362730,"""RT @Hartes_Geld: Showdown für #Merkel in #München: Abneigung und Pfiffe ohne Ende!\nDas alles erinnert an die letzten freien Wahlen… """,911408942756122624,1,0,0,1,20,7,93,13,0,116,20,0,2,0,0,0,2,0,0
745264589458247680,"""RT @ReneTruninger: Wenn #Merkel mit ihrer #openBorder Flüchtlingspolitik wiedergewählt wird, ist das #Europas Zukunft! #Köln\nhttps://t.co/p…""",911536005227909120,1,1,1,1,15,8,101,20,0,129,15,0,2,0,0,3,4,0,1
3303108581,"""RT @RAinDiercks: 1. Werte #AfD-Anhänger, habe mir Euer schönes Wahlprogramm für Euch mal angesehen. Hier die Kurzzusammenfassung #btw17 #bt…""",911477188679077888,0,2,1,0,19,8,95,15,3,124,19,0,2,0,0,1,3,0,0
4864549361,"""RT @RenateBiller: Wenn die an der Macht bleiben, dann gibt es in 5 Jahren Bürgerkrieg. #afd #wahlbetrug #islamisierung #afdwaehlen… """,911577644956872704,0,1,1,0,20,4,95,12,1,115,20,0,2,0,0,0,4,0,0
741748709751443456,"""RT @1Zeitzeuge: Für Macht, Geld und Einfluß  - ist die FDP bereit - Deutschland zu verraten! https://t.co/zXdhCNhEdH""",911596109495177216,1,1,1,1,16,10,71,14,1,100,16,0,2,0,0,4,0,0,1
896411887922970624,"""RT @66Freedom66: Versenken wir die #SPD !\nAbschlusskundgebung der #SPD in Berlin: Martin #Schulz hetzt gegen die #AfD !\n#BTW #Europa… """,911291914997129216,1,0,0,2,18,14,76,15,4,112,18,0,2,0,0,0,6,0,0
2985512195,"""RT @der_beppo: Vertrauen ist gut, Kontrolle ist besser. Seid am Sonntag #Wahlbeobachter bei der #btw17 #Schicksalswahl… """,911604737623064578,1,1,1,0,16,4,82,11,2,103,16,0,2,0,0,0,3,0,0
136280604,"""Morgen ist #BTW17.\nGefährdet nicht leichtfertig unsere Demokratie!\nVersaut unseren Kindern nicht Land &amp; Zukunft.\nBi… https://t.co/4BmergLrSJ""",911542585738571776,0,3,0,1,13,11,96,18,3,131,13,0,2,0,0,4,1,0,1
3395289083,"""RT @littlewisehen: Diesen Wahnsinn wählt man nicht mal als „Protest“. #AfD https://t.co/R9HTozmnKm""",911589502946353152,0,2,0,0,12,9,64,14,1,89,12,0,2,0,0,3,1,0,1
236059933,"""RT @fdp: Was meinst Du, würde Alexa auch gern wählen gehen? Finde es heraus! #CLundAlexa Folge 3. #DenkenWirNeu #BTW17… """,911557408815710211,0,1,1,1,20,11,72,14,3,103,20,0,2,0,0,0,3,0,0
